0.007000	1000.000000	-2.799341	-139.481948	-69.283887
0.010000	1000.000000	-7.020438	-139.592151	-69.093239
0.000250	1000.000000	-5.915668	-139.373342	-69.472590
0.003000	1000.000000	2.613796	-139.614731	-69.055161
0.000100	1000.000000	5.343335	-139.565518	-69.139552
0.004000	1000.000000	5.624542	-140.613199	-67.324335
0.008000	1000.000000	-7.241690	-140.575803	-67.389477
0.009000	1000.000000	6.379471	-140.588552	-67.368045
0.008000	1000.000000	-1.871788	-139.279859	-69.634065
0.001000	1000.000000	-10.499724	-140.414157	-67.669793
0.010000	1000.000000	-0.239392	-141.726810	-65.395792
0.001000	1000.000000	-8.598517	-141.212986	-66.285743
0.003000	1000.000000	-4.084943	-140.175494	-68.083170
0.008000	1000.000000	7.986280	-140.558879	-67.419632
0.000250	1000.000000	-3.012299	-139.585719	-69.104699
0.000500	1000.000000	8.339497	-140.372353	-67.742585
0.007000	1000.000000	-1.261588	-141.250527	-66.221087
0.010000	1000.000000	4.006901	-139.306107	-69.589711
0.004000	1000.000000	-9.866880	-139.422619	-69.387219
0.000750	1000.000000	-9.532768	-139.613715	-69.056798
0.000500	1000.000000	-5.323386	-139.995387	-68.395298
0.000100	1000.000000	-4.409378	-141.164955	-66.369731
0.008000	1000.000000	-4.445465	-140.230493	-67.987881
0.004000	1000.000000	-5.971080	-139.721236	-68.869701
0.000750	1000.000000	-9.205342	-140.971555	-66.705053
0.003000	1000.000000	-4.599832	-141.467154	-65.845902
0.002000	1000.000000	-9.422287	-140.850157	-66.913845
0.002000	1000.000000	-1.012928	-141.432473	-65.905603
0.000250	1000.000000	-10.556374	-141.179246	-66.345388
0.000750	1000.000000	6.404725	-139.899059	-68.561694
0.003000	1000.000000	-1.139314	-140.667350	-67.231086
0.000750	1000.000000	2.426268	-140.319331	-67.834480
0.007000	1000.000000	-1.896499	-140.095528	-68.221622
0.002000	1000.000000	-10.668867	-141.247284	-66.226620
0.005000	1000.000000	8.718532	-140.420849	-67.657549
0.004000	1000.000000	6.276659	-140.976004	-66.695865
0.009000	1000.000000	-2.634096	-141.824296	-65.227438
0.010000	1000.000000	-6.076117	-140.849049	-66.916258
0.000100	1000.000000	-0.700682	-140.585940	-67.372183
0.007000	1000.000000	-2.613571	-141.900502	-65.095166
0.001000	1000.000000	-6.671484	-141.903126	-65.091036
0.001000	1000.000000	-1.923535	-141.654978	-65.520502
0.004000	1000.000000	1.659074	-139.543184	-69.178295
0.001000	1000.000000	1.952305	-139.419929	-69.391578
0.000100	1000.000000	4.383500	-141.784755	-65.294805
0.002000	1000.000000	4.878268	-139.527771	-69.205439
0.002000	1000.000000	-11.663091	-141.000734	-66.653565
0.000500	1000.000000	3.043034	-141.321926	-66.096521
0.000100	1000.000000	1.991682	-141.825080	-65.226343
0.001000	1000.000000	-7.745297	-140.473755	-67.566438
0.007000	1000.000000	3.320516	-140.422383	-67.655959
0.009000	1000.000000	-1.117246	-139.736122	-68.844612
0.008000	1000.000000	2.636759	-142.155411	-64.654466
0.007000	1000.000000	3.492920	-140.534689	-67.461378
0.000750	1000.000000	8.496976	-140.072508	-68.261597
0.007000	1000.000000	1.496358	-141.122599	-66.442724
0.001000	1000.000000	-10.902253	-140.149243	-68.128184
0.001000	1000.000000	-3.236294	-141.903526	-65.090239
0.002000	1000.000000	7.315997	-140.759823	-67.071671
0.002000	1000.000000	2.748630	-141.011567	-66.634666
0.000250	1000.000000	1.756141	-139.458750	-69.324791
0.000500	1000.000000	-1.495944	-141.504544	-65.781659
0.007000	1000.000000	-4.028568	-141.238285	-66.242796
0.000750	1000.000000	1.209031	-139.806105	-68.722861
0.001000	1000.000000	7.801747	-140.659639	-67.244753
0.006000	1000.000000	-4.819647	-139.939647	-68.491519
0.000250	1000.000000	-8.947778	-139.457450	-69.326708
0.007000	1000.000000	-1.415629	-141.225464	-66.264521
0.000250	1000.000000	-6.369814	-142.008021	-64.908607
0.009000	1000.000000	-3.797162	-141.874632	-65.140119
0.000250	1000.000000	8.125228	-140.597484	-67.352185
0.007000	1000.000000	-2.794415	-140.397820	-67.698440
0.009000	1000.000000	-10.198829	-140.937409	-66.763595
0.000250	1000.000000	-10.161923	-140.692778	-67.187673
0.000250	1000.000000	6.160955	-140.237948	-67.974518
0.000100	1000.000000	-0.216493	-142.104853	-64.741123
0.009000	1000.000000	7.626323	-140.921454	-66.791386
0.000500	1000.000000	-7.093885	-140.495876	-67.527931
0.000100	1000.000000	1.116368	-141.394251	-65.972160
0.007000	1000.000000	6.146023	-141.289412	-66.153438
0.008000	1000.000000	-3.696101	-140.191759	-68.055540
0.005000	1000.000000	-1.655103	-140.956112	-66.730533
0.005000	1000.000000	2.060105	-139.936995	-68.495809
0.000100	1000.000000	7.470393	-139.468120	-69.308424
0.006000	1000.000000	3.304116	-140.817944	-66.970041
0.009000	1000.000000	-7.672081	-141.187354	-66.330334
0.008000	1000.000000	-0.816134	-141.420284	-65.926929
0.004000	1000.000000	-2.153931	-141.773277	-65.315535
0.000250	1000.000000	-3.439042	-140.001932	-68.383949
0.005000	1000.000000	-12.103460	-140.581876	-67.379882
0.005000	1000.000000	-4.309331	-141.619269	-65.582501
0.001000	1000.000000	7.143422	-141.254081	-66.214534
0.007000	1000.000000	-5.475806	-141.880575	-65.129700
0.000750	1000.000000	-11.130201	-139.744379	-68.829313
0.010000	1000.000000	-0.571664	-141.715896	-65.414404
0.003000	1000.000000	5.376707	-139.890118	-68.577833
0.000250	1000.000000	-7.178043	-140.495965	-67.527748
0.000750	1000.000000	-0.757621	-140.513256	-67.498326
0.005000	1000.000000	-4.947683	-141.320855	-66.099867
0.008000	1000.000000	-3.235475	-139.412909	-69.403771
0.000500	1000.000000	7.528736	-140.946323	-66.744473
0.003000	1000.000000	1.251921	-139.370885	-69.476497
0.007000	1000.000000	4.671838	-141.215320	-66.281971
0.004000	1000.000000	-11.997072	-140.174383	-68.085188
0.000100	1000.000000	1.014338	-141.359790	-66.031567
0.007000	1000.000000	-0.557952	-140.081148	-68.245559
0.008000	1000.000000	-9.018903	-142.046428	-64.841335
0.000100	1000.000000	-3.154776	-141.392308	-65.975397
0.007000	1000.000000	7.138101	-139.437930	-69.360042
0.006000	1000.000000	-7.295613	-141.362700	-66.026510
0.002000	1000.000000	4.133909	-141.640488	-65.545297
0.000250	1000.000000	-8.652100	-139.641607	-69.007615
0.010000	1000.000000	3.248667	-140.602317	-67.343945
0.000250	1000.000000	3.361649	-141.924316	-65.054683
0.000750	1000.000000	-5.373662	-141.400902	-65.960161
0.000250	1000.000000	-5.579757	-140.546424	-67.440388
0.000250	1000.000000	-4.696548	-141.364264	-66.024363
0.009000	1000.000000	3.021316	-141.743857	-65.367281
0.000250	1000.000000	-2.012673	-140.579218	-67.383917
0.006000	1000.000000	-1.012846	-139.527287	-69.205876
0.009000	1000.000000	-7.848626	-139.391055	-69.441415
