X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-15.316925048828125 1234.2974853515625 1407.0120849609375 7.418269920689306 245268.0 245268.0 0.0
-15.079861640930176 1233.84375 1407.5753173828125 7.297474430313606 244399.0 244389.0 0.16800000000000012
-14.274852752685547 1231.968505859375 1410.58203125 7.068845503350489 244240.0 244240.0 0.0
-13.964061737060547 1231.7783203125 1411.0517578125 7.030560713914648 45902.0 245257.0 0.6840000000000005
-13.43371868133545 1231.515869140625 1411.919189453125 7.037060332039 245256.0 245256.0 0.0
-12.5549955368042 1229.8231201171875 1417.0875244140625 7.647515326691383 245274.0 245274.0 0.0
-12.17083740234375 1229.77392578125 1417.906982421875 7.8394966356733 246002.0 245272.0 0.7640000000000006
-11.969157218933105 1229.4713134765625 1418.6734619140625 7.823778712890702 245272.0 245628.0 0.7120000000000005
-11.920158386230469 1229.3714599609375 1418.9776611328125 7.821596498382627 259233.0 245628.0 0.9640000000000007
-11.736427307128906 1229.244140625 1419.5023193359375 7.787794855628916 245867.0 245867.0 0.0
-11.73649787902832 1229.244140625 1419.502685546875 7.787745930675648 243982.0 245867.0 0.9880000000000008
-11.742298126220703 1229.2489013671875 1419.5333251953125 7.7837177761899 243982.0 243982.0 0.0
-10.853645324707031 1227.568603515625 1425.3721923828125 6.840667266776291 245247.0 245247.0 0.0
-10.780678749084473 1227.527099609375 1425.5804443359375 6.875217401584415 41808.0 245246.0 0.8280000000000006
-9.477007865905762 1226.6856689453125 1427.678466796875 7.181299163760966 245614.0 245614.0 0.0
-9.475340843200684 1226.6827392578125 1427.687255859375 7.181640187717114 245615.0 245614.0 0.9920000000000008
-9.268632888793945 1226.3154296875 1428.77734375 7.22392715827946 245615.0 245615.0 0.0
-9.268878936767578 1226.3133544921875 1428.783203125 7.2234934948760365 245607.0 245615.0 0.9800000000000008
-9.280915260314941 1226.21435546875 1429.067626953125 7.202243988108255 245607.0 245607.0 0.0
-9.777336120605469 1225.4234619140625 1431.0999755859375 7.027065544328178 53817.0 53817.0 0.0
-9.027993202209473 1223.7564697265625 1435.813720703125 7.37256708345224 245502.0 245502.0 0.0
-8.936595916748047 1223.692138671875 1436.056884765625 7.436352861522386 245503.0 245498.0 0.2960000000000002
-8.732314109802246 1223.5748291015625 1436.432373046875 7.493633635569261 245498.0 245587.0 0.05200000000000002
-8.418329238891602 1222.68603515625 1438.8955078125 7.439336138210146 243543.0 245577.0 0.11200000000000007
-8.571720123291016 1222.392578125 1439.509521484375 7.3363347016031994 244656.0 244222.0 0.9240000000000007
-8.730164527893066 1221.0614013671875 1442.4287109375 7.177673912827855 243863.0 244218.0 0.11200000000000007
-8.379631042480469 1219.83935546875 1444.768798828125 7.641974097874947 244100.0 244100.0 0.0
-8.38320255279541 1219.8319091796875 1444.78369140625 7.644472239540833 245385.0 244100.0 0.9920000000000008
-8.826032638549805 1218.9146728515625 1446.630615234375 7.954241806110809 245385.0 245385.0 0.0
-8.377196311950684 1217.5279541015625 1449.488037109375 8.36603356130906 243480.0 243480.0 0.0
-8.485218048095703 1216.3995361328125 1451.145751953125 8.530809644234479 244087.0 244081.0 0.17200000000000013
-7.974123477935791 1214.77978515625 1453.9862060546875 8.87045922898846 244214.0 244214.0 0.0
-7.942882537841797 1214.5386962890625 1454.2774658203125 8.955553097238033 259025.0 259026.0 0.06400000000000003
-7.608851432800293 1213.92529296875 1455.435791015625 9.072114770917654 256373.0 256373.0 0.0
-7.574357509613037 1213.8421630859375 1455.553466796875 9.070898012311709 245687.0 244073.0 0.032
-7.2047953605651855 1212.9652099609375 1457.421142578125 9.188226545017331 259436.0 259436.0 0.0
-6.765425205230713 1212.0115966796875 1459.3038330078125 8.865571842258053 259433.0 259433.0 0.0
-6.150848865509033 1211.1304931640625 1461.681884765625 8.898789685210694 259013.0 259013.0 0.0
-6.1508378982543945 1211.1304931640625 1461.681884765625 8.898786145766563 259014.0 259013.0 0.9960000000000008
-6.148087978363037 1211.124755859375 1461.68896484375 8.897904824177704 259014.0 259014.0 0.0
-5.932079315185547 1210.380126953125 1462.7626953125 8.754720004557088 259008.0 259008.0 0.0
-5.675193786621094 1209.4813232421875 1464.2080078125 8.778686398536992 256277.0 256277.0 0.0
-5.5008134841918945 1209.035888671875 1465.4873046875 8.73882727966499 256753.0 256753.0 0.0
-5.492336273193359 1209.0128173828125 1465.5673828125 8.738565938680827 256839.0 256840.0 0.7680000000000006
-5.48963737487793 1209.00634765625 1465.5948486328125 8.737138072596542 256840.0 63405.0 0.18400000000000014
-5.281538009643555 1208.4820556640625 1466.9525146484375 8.589533778653719 256812.0 256812.0 0.0
-5.20107889175415 1208.2471923828125 1467.7396240234375 8.545748902839325 255519.0 255519.0 0.0
-5.201039791107178 1208.246826171875 1467.7408447265625 8.545732913467456 255518.0 255519.0 0.9960000000000008
-5.191323280334473 1208.163818359375 1468.03271484375 8.54175155987217 255518.0 255518.0 0.0
-5.071890830993652 1207.666015625 1469.4404296875 8.568741134318518 255515.0 255515.0 0.0
-5.061374664306641 1207.5806884765625 1469.697998046875 8.599553723687691 256439.0 256416.0 0.06800000000000003
-4.942627906799316 1207.2520751953125 1470.7803955078125 8.778409701954622 256416.0 256416.0 0.0
-4.942122459411621 1207.2510986328125 1470.783935546875 8.779286008855854 256390.0 256416.0 0.9880000000000008
-4.900493621826172 1207.1666259765625 1471.074951171875 8.851435277057227 256390.0 256390.0 0.0
-4.900465965270996 1207.1661376953125 1471.0767822265625 8.85186737694535 256428.0 256390.0 0.9840000000000008
-4.898774147033691 1207.134521484375 1471.1883544921875 8.878441520064856 256428.0 256428.0 0.0
-4.898746490478516 1207.134033203125 1471.189697265625 8.87870794829561 256417.0 256428.0 0.9920000000000008
-4.895324230194092 1207.0792236328125 1471.3489990234375 8.911745048908998 256417.0 256417.0 0.0
-4.894837856292725 1207.0770263671875 1471.355712890625 8.913320254551618 256854.0 256417.0 0.9880000000000008
-4.854799747467041 1206.8944091796875 1471.907958984375 9.043012185794028 256854.0 256854.0 0.0
-4.829230308532715 1206.8074951171875 1472.093017578125 9.07137669505154 256858.0 65944.0 0.23600000000000018
-4.728984832763672 1206.6009521484375 1472.7276611328125 9.111015852694425 53982.0 53982.0 0.0
-4.734837055206299 1206.268310546875 1473.55615234375 9.09041250619826 62082.0 62105.0 0.2920000000000002
-4.7786688804626465 1206.060791015625 1474.520263671875 8.999050293393294 62103.0 62103.0 0.0
-4.800622463226318 1206.02490234375 1474.76953125 8.96999363676688 56670.0 56670.0 0.0
-4.842060565948486 1204.9779052734375 1478.127685546875 8.38873048268218 53831.0 53831.0 0.0
