REMOVED	  201927	 29000027372	3.107885328988e-04	1.137339295482e+00	1.614816481134e+00	   12737	   12737	   1	3.082722028789e-04	1.137330924595e+00	1.614817177006e+00	1.881937408192e-01	6.256147774332e-01	-5.163518330650e-02
REMOVED	  201944	 29000014260	3.960907443035e-04	1.137263863118e+00	1.614846495136e+00	   12737	   12737	   1	3.934944171681e-04	1.137255546707e+00	1.614847325355e+00	1.941379492385e-01	6.215537886379e-01	-6.160882257589e-02
REMOVED	  201948	 29000021977	5.737735586861e-04	1.137688016977e+00	1.614785661114e+00	   13580	   13580	   1	5.706362886280e-04	1.137678424432e+00	1.614785870928e+00	2.351917554845e-01	7.190068785279e-01	-1.532642612530e-02
REMOVED	  201952	 29000025683	3.911916394725e-04	1.137224256537e+00	1.614853971606e+00	   12737	   12737	   1	3.886071567719e-04	1.137215964033e+00	1.614854849793e+00	1.932331008864e-01	6.197114716820e-01	-6.527442963354e-02
REMOVED	  201952	 29000017038	5.549752679243e-04	1.137810547068e+00	1.614779309457e+00	   13580	   13580	   1	5.518384596844e-04	1.137800788515e+00	1.614779402969e+00	2.344665569711e-01	7.294076143778e-01	-6.624202865204e-03
REMOVED	  201964	 29000017887	5.899326080219e-04	1.137780285105e+00	1.614783850350e+00	   13580	   13580	   1	5.867029816174e-04	1.137770381608e+00	1.614783969512e+00	2.415874287158e-01	7.407866054307e-01	-8.535257115215e-03
REMOVED	  201965	 29000002706	5.636943400708e-04	1.137729933447e+00	1.614785942002e+00	   13580	   13580	   1	5.605514717377e-04	1.137720257292e+00	1.614786114511e+00	2.355224483957e-01	7.250584845410e-01	-1.251564648020e-02
REMOVED	  201966	 29000003251	6.108394704149e-04	1.138058881041e+00	1.614755272968e+00	   13577	   13577	   1	6.080927238965e-04	1.138049990571e+00	1.614754898754e+00	2.055912183210e-01	6.654719275516e-01	2.821859600958e-02
REMOVED	  201987	 29000006914	4.497476904290e-04	1.138182160747e+00	1.614746099457e+00	   13577	   13577	   1	4.474133520113e-04	1.138174132500e+00	1.614745722935e+00	1.759225045508e-01	6.053361875186e-01	2.876638707789e-02
REMOVED	  201988	 29000016429	5.393015670113e-04	1.138119144830e+00	1.614754074256e+00	   13577	   13577	   1	5.368661028621e-04	1.138111038248e+00	1.614753729279e+00	1.831391430616e-01	6.096966419636e-01	2.623117881627e-02
REMOVED	  201992	 29000020920	6.291386064448e-04	1.138151204126e+00	1.614753853142e+00	   13577	   13577	   1	6.262931070387e-04	1.138141946618e+00	1.614753401738e+00	2.132219844007e-01	6.938344033265e-01	3.408590313490e-02
REMOVED	  201992	 29000013921	6.642869143726e-04	1.138277931848e+00	1.614749052427e+00	   13663	   13577	   1	6.612319021859e-04	1.138268109997e+00	1.614748501412e+00	2.346075861773e-01	7.393812301875e-01	4.007742080875e-02
REMOVED	  202041	 29000012014	6.641575102805e-04	1.138724849771e+00	1.614790854493e+00	   13664	   13576	   1	6.611964443077e-04	1.138714316678e+00	1.614789619095e+00	2.261540384866e-01	7.919664998054e-01	9.126755810308e-02
REMOVED	  202042	 29000023477	6.642383810426e-04	1.138678252215e+00	1.614787350715e+00	   13664	   13576	   1	6.613139771714e-04	1.138667904131e+00	1.614786180706e+00	2.235242282596e-01	7.785846195952e-01	8.642207472757e-02
REMOVED	  202336	 79000046683	-1.131204094723e-02	1.139070449000e+00	1.618140931899e+00	   12586	   12586	   1	-1.131076004374e-02	1.139064845423e+00	1.618141029811e+00	-9.578453466299e-02	4.187345558232e-01	-7.199824222993e-03
REMOVED	  202339	 79000041018	-1.133192104765e-02	1.139087711418e+00	1.618148189538e+00	   12586	   12586	   1	-1.133060539941e-02	1.139082059133e+00	1.618148250920e+00	-9.837599137060e-02	4.223648146358e-01	-4.480603686675e-03
REMOVED	  202340	 79000048287	-1.136088057819e-02	1.139190246667e+00	1.618120960183e+00	   12586	   12586	   1	-1.135949385338e-02	1.139184450903e+00	1.618120976324e+00	-1.036383039983e-01	4.329286970230e-01	-1.099451074503e-03
REMOVED	  202343	 79000049467	-1.126688348754e-02	1.139085127507e+00	1.618116727259e+00	   12586	   12586	   1	-1.126568116178e-02	1.139079680490e+00	1.618116902941e+00	-8.989883648326e-02	4.071304184047e-01	-1.297254084934e-02
REMOVED	  202346	 79000046308	-1.125271850112e-02	1.139128570852e+00	1.618085962438e+00	   12586	   12586	   1	-1.125152226673e-02	1.139123099601e+00	1.618086160499e+00	-8.940900858387e-02	4.089548598126e-01	-1.459599709415e-02
REMOVED	  202348	 79000048242	-1.122533562985e-02	1.139088597786e+00	1.618088515205e+00	   12586	   12586	   1	-1.122418150010e-02	1.139083248864e+00	1.618088775434e+00	-8.626696738449e-02	3.999158044751e-01	-1.923565698315e-02
REMOVED	  202354	 79000045004	-1.126011247302e-02	1.139035266163e+00	1.618134434187e+00	   12586	   12586	   1	-1.125893966933e-02	1.139029884658e+00	1.618134617985e+00	-8.769753248084e-02	4.020870498418e-01	-1.362166919729e-02
REMOVED	  202356	 79000053129	-1.135900293602e-02	1.139349911850e+00	1.618079678048e+00	   12385	   12385	   1	-1.135736333619e-02	1.139344098130e+00	1.618079671482e+00	-1.225822600607e-01	4.342341793007e-01	6.789098090166e-04
REMOVED	  202356	 79000044733	-1.121179154451e-02	1.139143593709e+00	1.618058837592e+00	   12586	   12586	   1	-1.121065626387e-02	1.139138224845e+00	1.618059093021e+00	-8.480264173691e-02	4.012961159495e-01	-1.883736766717e-02
REMOVED	  202357	 79000040743	-1.121811318483e-02	1.138744714407e+00	1.618164249139e+00	   12587	   12587	   1	-1.121730568264e-02	1.138738339302e+00	1.618164415427e+00	-6.065186709259e-02	4.766439638947e-01	-1.240605430310e-02
